seed,hiddenCount,hiddenFraction,T,durationSteps,mode,checkpointGO,eventGOLoss,eventGODeviation,postGOLoss,postGODeviation,eventGOPreservation,eventMinGO,eventPairDistanceIncrease,eventPairDistanceDeviation,postPairDistanceIncrease,postPairDistanceDeviation,eventInputMass,eventActiveNeighbors,eventFreshNeighbors,eventInputConcentration,meanPredictionError,p90PredictionError,predictionErrorCount,recoveryTime
206,7,0.466666666666667,3,10,none,0.704274218716452,0.000165825662546404,0.000562081964589789,-0.000600775201907516,0.000981594999405987,0.999741326482427,0.64013073636291,2.30728715694961e-06,2.30940375058331e-06,-1.14029398799731e-05,1.81149840022599e-05,0.09625452574583,8,8,0.449710823817683,NaN,NaN,0,1.2
206,7,0.466666666666667,3,10,hold,0.704274218716452,0.000337666034232875,0.000345846028422481,0.000166267615052812,0.000266085931785637,0.999473270545108,0.63808125472824,3.98578344390499e-07,3.98588838296243e-07,1.7990748547359e-05,1.7990748547359e-05,0.180477235773431,15,8,0.438589171908813,0.0278591582699674,0.0438283029031048,1400,1.2
206,7,0.466666666666667,3,10,mean,0.704274218716452,-6.68933489571533e-05,6.68935451819896e-05,-3.63617546776451e-05,4.67685081969371e-05,1.00010434776868,0.639662011544707,-4.02645604580254e-08,9.08008001065941e-08,-1.68050144097043e-07,5.81268695744042e-07,0.180477235773431,15,8,0.439103724888225,0.0161336470854604,0.0245175232247089,1400,1.2
206,7,0.466666666666667,3,10,kalman,0.704274218716452,-6.73805110224857e-05,6.73806031133983e-05,-3.78099358594119e-05,4.81675451290431e-05,1.00010510769886,0.639662022589474,-3.7945724379318e-08,8.91318957918497e-08,-1.2062508406796e-07,5.99489587997937e-07,0.180477235773431,15,8,0.439025152658504,0.0161336426193191,0.0245175232247089,1400,1.2
206,7,0.466666666666667,3,10,kalman-gm,0.704274218716452,8.6128312617495e-05,9.40929968004767e-05,-3.10664823972162e-05,7.30807807545031e-05,0.999865647371792,0.638965602485118,1.86942992841388e-07,1.86953531744471e-07,3.93843554349516e-06,3.93843554349516e-06,0.180477235773431,15,8,0.43871703142279,0.0170043732611331,0.0235965003674732,1400,1.2
206,7,0.466666666666667,6,20,none,0.704274218716452,-0.0011027057479061,0.00146665956147419,-0.00569945967569149,0.00569945967569149,1.00172539021349,0.638941547757284,1.29280954157152e-05,1.2929153712532e-05,-6.11902867755643e-06,7.18884395684033e-05,0.09625452574583,8,8,0.447376144742216,NaN,NaN,0,1.2
206,7,0.466666666666667,6,20,hold,0.704274218716452,0.000356902336904436,0.000492721748346919,9.59179176960845e-05,0.000461471043460919,0.999441559273238,0.635084744698749,3.87428022514402e-06,3.87428547209689e-06,5.80023225476362e-05,5.80023225476362e-05,0.180477235773431,15,8,0.43589229564216,0.0541148628245147,0.0840499182010128,2800,1.2
206,7,0.466666666666667,6,20,mean,0.704274218716452,0.000144133281998693,0.000260161026039385,-0.000464725291802726,0.000499473319614516,0.999774476414338,0.632855820313086,-1.02831627421529e-07,1.96778827424304e-07,-3.22193593851083e-05,3.22306081667234e-05,0.180477235773431,15,8,0.436876521789882,0.0356955169833195,0.0444546631261424,2800,1.2
206,7,0.466666666666667,6,20,kalman,0.704274218716452,0.000127208420941244,0.000246701028718127,-0.000496103735056341,0.000529258499286267,0.999800958537686,0.632858419225833,-6.34578152608478e-08,1.70531702523014e-07,-3.4565058364317e-05,3.45691421063637e-05,0.180477235773431,15,8,0.436525373344888,0.0356954563159708,0.0444546631261424,2800,1.2
206,7,0.466666666666667,6,20,kalman-gm,0.704274218716452,-5.46557384439428e-05,0.000214352872001244,-7.47350241368994e-05,0.000210870478563042,1.00008551916629,0.63584839541448,1.06616126382963e-06,1.06616653328118e-06,1.7919152765758e-05,1.7919152765758e-05,0.180477235773431,15,8,0.436557851281656,0.0351679896904389,0.0430854091250179,2800,1.2
206,7,0.466666666666667,10.2,34,none,0.704274218716452,-0.00350677311297411,0.00372086359154358,-0.0084528223819265,0.0084528223819265,1.00551905681073,0.635933023090719,4.07784729591501e-05,4.07790954866894e-05,3.28834021617858e-05,8.52526124957526e-05,0.09625452574583,8,8,0.448712556845626,NaN,NaN,0,1.2
206,7,0.466666666666667,10.2,34,hold,0.704274218716452,-0.000331932693418727,0.000908702802775366,-0.00010815021880383,0.00117357010238829,1.00052240488144,0.626568846911459,1.78671247532043e-05,1.78671278396472e-05,0.000168252734657266,0.000168252734657266,0.180477235773431,15,8,0.435071312824094,0.0864784910733935,0.148745781899487,4760,1.2
206,7,0.466666666666667,10.2,34,mean,0.704274218716452,0.000291565974854426,0.000377591092969456,0.000116973576650464,0.000585987090446595,0.999541125380099,0.626584013344657,1.38726888423326e-06,1.60865097606488e-06,4.16662028447717e-05,4.16662028447717e-05,0.180477235773431,15,8,0.435866651413249,0.0628472628997247,0.0773931150075375,4760,1.2
206,7,0.466666666666667,10.2,34,kalman,0.704274218716452,0.000107773379991823,0.000306325695021951,1.17039288028042e-05,0.000606615177748366,0.999830383264701,0.625867868948898,1.0567338830745e-06,1.21884091387992e-06,-2.51289008909766e-05,3.04790504754066e-05,0.180477235773431,15,8,0.434561504148065,0.0628124553271328,0.0773931150075375,4760,1.2
206,7,0.466666666666667,10.2,34,kalman-gm,0.704274218716452,-8.01818063236739e-05,0.000362242439135202,5.88281900017285e-05,0.000365577936877005,1.00012619235121,0.626937666046931,6.22543679682116e-06,6.22543989649854e-06,5.59951171665657e-05,5.59951171665657e-05,0.180477235773431,15,8,0.436278606583842,0.0587787060719417,0.077551329324059,4760,1.2
206,7,0.466666666666667,18,60,none,0.704274218716452,-0.00463367507462403,0.00475499301248006,-0.00448581704772575,0.00448581704772575,1.00734125329207,0.629190838168772,8.06497802342136e-05,8.06501329998192e-05,-0.000263147573573934,0.000309300677708865,0.09625452574583,8,8,0.458934805021499,NaN,NaN,0,1.2
206,7,0.466666666666667,18,60,hold,0.704274218716452,0.000512503261809468,0.00121553004298612,-0.00726775074586535,0.00772763014620996,0.99918802760285,0.622784924845533,6.44474087645397e-05,6.4447410513524e-05,0.000233410517390292,0.000233896549197978,0.180477235773431,15,8,0.43625395699985,0.142809494983261,0.293765399009135,8400,1.2
206,7,0.466666666666667,18,60,mean,0.704274218716452,0.00120065546302664,0.00124940302995849,-0.00280904658872301,0.0035512537222384,0.998097769971213,0.621376844489605,8.41122180384365e-06,8.53667165588157e-06,-0.000111870614020408,0.000131108700971491,0.180477235773431,15,8,0.434578051869585,0.117381488350557,0.150208444185541,8400,1.2
206,7,0.466666666666667,18,60,kalman,0.704274218716452,0.00135583346379046,0.0014725934751157,-0.00411937873163851,0.00490653787557099,0.997851917383231,0.619044258575385,-1.51105167875383e-05,1.64088280743676e-05,-0.000425541392502486,0.000425541392502486,0.180477235773431,15,8,0.429025911374701,0.117261748649668,0.149164972855474,8400,1.2
